"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",33.9,98.1,25.4,5.3,10,2.2,1.1,1.1,3.9,19.3,9.7,2.5,8.1,3.3,2022-08-28
"LeBron James","Los Angeles Lakers","Vet",32.8,96.9,25.2,6.2,6.2,1,0.8,1.1,3.2,17.8,5.5,6,6.4,2.5,2022-08-28
"Donovan Mitchell","Utah Jazz","Vet",36,94.8,25.1,5.6,3.6,0.9,0.2,1.3,3.1,19.4,6.1,7.5,4.1,2.7,2022-08-28
"Luka Doncic","Dallas Mavericks","Vet",35.2,93.5,25.1,6.7,7.8,0.9,0.6,1.3,3.9,19.5,9,7.9,4.2,2.7,2022-08-28
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",35.5,97.3,25.1,5.6,4.2,0.8,0.8,1.3,3.1,18.7,7.8,3.9,5.1,3.1,2022-08-28
"Nikola Jokic","Denver Nuggets","Vet",33.6,96.4,24.4,6.5,10.2,3,0.9,1.4,3.7,17.9,7.1,2.4,5.8,3.2,2022-08-28
"Devin Booker","Phoenix Suns","Vet",35.1,95.3,24,4.2,3.8,0.7,0.4,1,2.7,18,5.7,5.5,3,2.9,2022-08-28
"De'Aaron Fox","Sacramento Kings","Vet",35.4,97.3,23.5,5.2,3.2,0.5,0.4,1.3,2.8,19,6.3,4.7,4.6,3.4,2022-08-28
"Kevin Durant","Brooklyn Nets","Vet",34.4,97.2,23.1,5.5,6,0.6,0.9,0.9,3.2,17,6.7,4.3,2.2,2.4,2022-08-28
"Stephen Curry","Golden State Warriors","Vet",32.2,97.1,23.1,5.3,4.2,0.6,0.3,1.2,3,17.2,4.9,8.1,2.1,2.3,2022-08-28
"Joel Embiid","Philadelphia 76ers","Vet",34,94.3,22.9,2.9,8.7,2.3,1.3,1,3,17.4,9.2,2.6,5.5,3.1,2022-08-28
"Jayson Tatum","Boston Celtics","Vet",36,94.8,22.7,4.9,5.7,1.1,0.7,1.1,3.3,17.7,6.1,6,4.6,2.6,2022-08-28
"Trae Young","Atlanta Hawks","Vet",33.9,96.4,22.7,8.4,3,0.7,0.2,0.9,3.8,16.8,7.1,6.4,3,2.1,2022-08-28
"Ja Morant","Memphis Grizzlies","Vet",32.6,96.7,22.7,6.7,4.1,1.2,0.3,1.1,3.4,17.8,7.5,4.2,6.8,2,2022-08-28
"Jimmy Butler","Miami Heat","Vet",34.5,95,22.5,4.6,4.3,1.9,0.5,1.8,2,16.7,8,2.8,5.4,1.8,2022-08-28
"Brandon Ingram","New Orleans Pelicans","Vet",34.6,94.5,22.1,5,4.8,0.7,0.5,0.7,2.8,17.3,6.6,3.1,3.1,2.4,2022-08-28
"DeMar DeRozan","Chicago Bulls","Vet",33.9,95.6,21.3,3.9,3.8,0.7,0.3,0.9,2.2,16.4,6.7,0.5,3.1,2.5,2022-08-28
"Kyrie Irving","Brooklyn Nets","Vet",35.3,97.1,21,4.9,3.3,0.8,0.6,1.4,2.4,16.3,4.2,6,2.6,2.9,2022-08-28
"Jaylen Brown","Boston Celtics","Vet",34.9,94.7,21,3.1,5,1.2,0.3,1.1,2.7,17.2,5,5.3,4.4,2.8,2022-08-28
"Zion Williamson","New Orleans Pelicans","Vet",31.9,98,20.4,3.2,4.3,2.3,0.6,1,2.7,14.8,6.4,2.1,7.2,2.7,2022-08-28
"Pascal Siakam","Toronto Raptors","Vet",34.9,93.4,20.2,4.6,5.7,1.6,0.6,1.1,2.7,16.1,5.5,2.3,3.9,3.3,2022-08-28
"Anthony Edwards","Minnesota Timberwolves","Sophomore",34.2,97,20,3.1,3.5,0.8,0.6,1.3,2.5,16,4.3,7,4.6,2.6,2022-08-28
"Darius Garland","Cleveland Cavaliers","Vet",34.3,94.7,19.8,7.3,2.3,0.6,0.2,1.3,3.3,17.5,4.6,5.1,4.5,2.1,2022-08-28
"Karl-Anthony Towns","Minnesota Timberwolves","Vet",31.4,97.2,19.6,2.6,6.8,2.3,1.2,0.9,2.8,13.4,6.2,3.6,5,3.6,2022-08-28
"Damian Lillard","Portland Trail Blazers","Vet",32.1,98.8,19.4,5.7,3,0.5,0.3,0.8,2.5,16.5,6.2,7.6,3.9,1.9,2022-08-28
"CJ McCollum","New Orleans Pelicans","Vet",32.6,94.7,19.4,4.3,3.2,0.7,0.4,0.9,2,16.7,3.2,5.8,2.7,2.2,2022-08-28
"LaMelo Ball","Charlotte Hornets","Sophomore",33.3,96.8,19.1,6.7,4.5,1.3,0.4,1.6,3.3,16.4,4,7.1,4.1,3.3,2022-08-28
"Zach LaVine","Chicago Bulls","Vet",31.6,95.2,18.8,3.9,3.4,0.4,0.3,0.7,2.5,13.3,5.2,5,4.5,2.2,2022-08-28
"RJ Barrett","New York Knicks","Vet",33.6,94.7,18.8,2.8,4.2,0.9,0.2,0.7,2.5,16.6,6.5,5,6.2,2.4,2022-08-28
"Dejounte Murray","Atlanta Hawks","Vet",33.5,95.7,18.4,6.9,6.2,1,0.3,1.8,2.4,15.8,4.1,4.2,4.3,2.5,2022-08-28
"Bradley Beal","Washington Wizards","Vet",30.9,99.6,18.3,4.9,3,0.9,0.4,0.9,2.7,15.4,5,3.6,3.7,2.5,2022-08-28
"Kawhi Leonard","Los Angeles Clippers","Vet",30.1,99.1,17.7,3.3,4.6,1.3,0.5,1.5,1.7,14.5,4.4,3.9,3.3,2.2,2022-08-28
"Khris Middleton","Milwaukee Bucks","Vet",31.3,97.9,17.1,4.8,4.2,0.7,0.3,1.1,2.5,13.1,3.8,5.7,1.9,2.8,2022-08-28
"Tyrese Maxey","Philadelphia 76ers","Sophomore",35,94.9,17.1,3.5,2.6,0.5,0.4,0.8,1.5,13.4,3.7,4.4,4.1,2.3,2022-08-28
"Cade Cunningham","Detroit Pistons","Rookie",31.4,95.2,17.1,5,3.9,0.9,0.7,1.1,3.5,15.2,3.6,3.7,4.7,3.2,2022-08-28
"Jalen Green","Houston Rockets","Rookie",31.7,97.3,17.1,2.4,2.7,0.6,0.3,0.7,1.9,14.8,4,6.1,4.4,1.9,2022-08-28
