,Player,Team,DPM,Rating,EPM
0,Giannis Antetokounmpo,Milwaukee Bucks,7.15,6.8,6.975
1,Joel Embiid,Philadelphia 76ers,6.31,7.4,6.855
2,LeBron James,Los Angeles Lakers,5.4,,5.4
3,Nikola Jokic,Denver Nuggets,5.32,11.3,8.31
4,Jayson Tatum,Boston Celtics,5.32,5.0,5.16
5,Kawhi Leonard,Los Angeles Clippers,4.94,3.8,4.37
6,Kevin Durant,Brooklyn Nets,4.86,3.3,4.08
7,Stephen Curry,Golden State Warriors,4.85,5.5,5.175
8,Chris Paul,Phoenix Suns,4.5,3.2,3.85
9,Paul George,Los Angeles Clippers,4.29,5.4,4.845000000000001
10,Karl-Anthony Towns,Minnesota Timberwolves,4.23,,4.23
11,Jimmy Butler,Miami Heat,4.2,4.7,4.45
12,Kyrie Irving,Brooklyn Nets,3.91,4.3,4.105
13,Damian Lillard,Portland Trail Blazers,3.89,3.2,3.545
14,Jaylen Brown,Boston Celtics,3.77,2.9,3.335
15,Devin Booker,Phoenix Suns,3.66,3.5,3.58
16,Donovan Mitchell,Utah Jazz,3.63,2.7,3.165
17,James Harden,Philadelphia 76ers,3.58,3.4,3.49
18,Rudy Gobert,Minnesota Timberwolves,3.49,5.0,4.245
19,Jrue Holiday,Milwaukee Bucks,3.36,3.2,3.2800000000000002
20,Luka Doncic,Dallas Mavericks,3.17,8.3,5.735
21,Robert Williams III,Boston Celtics,2.85,,2.85
22,Bam Adebayo,Miami Heat,2.77,2.7,2.7350000000000003
23,Pascal Siakam,Toronto Raptors,2.74,1.6,2.17
24,Trae Young,Atlanta Hawks,2.73,3.0,2.865
25,Otto Porter Jr.,Toronto Raptors,2.7,,2.7
26,Deandre Ayton,Phoenix Suns,2.61,1.2,1.9049999999999998
27,Brandon Ingram,New Orleans Pelicans,2.52,0.8,1.6600000000000001
28,Anthony Edwards,Minnesota Timberwolves,2.47,3.4,2.935
29,Mike Conley,Utah Jazz,2.42,2.5,2.46
30,Jusuf Nurkic,Portland Trail Blazers,2.39,2.0,2.1950000000000003
31,Khris Middleton,Milwaukee Bucks,2.38,1.2,1.79
32,Robert Covington,Los Angeles Clippers,2.37,2.0,2.185
33,Ja Morant,Memphis Grizzlies,2.34,3.9,3.12
34,Fred VanVleet,Toronto Raptors,2.31,,2.31
35,Steven Adams,Memphis Grizzlies,2.3,1.3,1.7999999999999998
36,Anthony Davis,Los Angeles Lakers,2.3,2.8,2.55
37,Bogdan Bogdanovic,Atlanta Hawks,2.23,2.6,2.415
38,LaMelo Ball,Charlotte Hornets,2.19,,2.19
39,Draymond Green,Golden State Warriors,2.17,2.6,2.385
40,Marcus Smart,Boston Celtics,2.16,2.7,2.43
41,Desmond Bane,Memphis Grizzlies,2.09,3.1,2.5949999999999998
42,Jaren Jackson Jr.,Memphis Grizzlies,1.91,,1.91
43,Isaiah Hartenstein,New York Knicks,1.88,1.7,1.79
44,Darius Garland,Cleveland Cavaliers,1.87,3.3,2.585
45,Dejounte Murray,Atlanta Hawks,1.81,3.3,2.5549999999999997
46,Andrew Wiggins,Golden State Warriors,1.78,1.5,1.6400000000000001
47,Brook Lopez,Milwaukee Bucks,1.74,-0.3,0.72
48,Jakob Poeltl,San Antonio Spurs,1.68,3.4,2.54
49,Kristaps Porzingis,Washington Wizards,1.65,2.2,1.925
50,Jordan Clarkson,Utah Jazz,1.64,1.3,1.47
51,Jarrett Allen,Cleveland Cavaliers,1.64,2.2,1.92
52,Jared Harper,New Orleans Pelicans,1.62,-1.6,0.010000000000000009
53,Christian Wood,Dallas Mavericks,1.61,-0.8,0.405
54,Gary Payton II,Portland Trail Blazers,1.6,,1.6
55,Clint Capela,Atlanta Hawks,1.6,2.8,2.2
56,Ben Simmons,Brooklyn Nets,1.58,2.3,1.94
57,Brandon Clarke,Memphis Grizzlies,1.58,1.1,1.34
58,Mitchell Robinson,New York Knicks,1.57,1.6,1.585
59,CJ McCollum,New Orleans Pelicans,1.56,,1.56
60,Michael Porter Jr.,Denver Nuggets,1.54,,1.54
61,Jarred Vanderbilt,Utah Jazz,1.49,1.7,1.595
62,Kevon Looney,Golden State Warriors,1.48,1.1,1.29
63,Danny Green,Memphis Grizzlies,1.46,0.3,0.88
64,Shai Gilgeous-Alexander,Oklahoma City Thunder,1.45,,1.45
65,Jae Crowder,Phoenix Suns,1.44,1.1,1.27
66,Jamal Murray,Denver Nuggets,1.41,2.3,1.855
67,Al Horford,Boston Celtics,1.35,2.3,1.825
68,Zion Williamson,New Orleans Pelicans,1.35,1.3,1.3250000000000002
69,Bradley Beal,Washington Wizards,1.32,1.4,1.3599999999999999
70,Jonas Valanciunas,New Orleans Pelicans,1.3,1.4,1.35
71,Jonathan Isaac,Orlando Magic,1.3,-0.4,0.45
72,Kyle Lowry,Miami Heat,1.26,2.2,1.73
73,Chris Boucher,Toronto Raptors,1.25,1.1,1.175
74,Dorian Finney-Smith,Dallas Mavericks,1.18,,1.18
75,Miles Bridges,Charlotte Hornets,1.17,1.5,1.335
76,Patrick Beverley,Utah Jazz,1.11,2.3,1.705
77,Tobias Harris,Philadelphia 76ers,1.1,-0.6,0.25000000000000006
78,Larry Nance Jr.,New Orleans Pelicans,1.07,,1.07
79,Jordan Poole,Golden State Warriors,1.06,1.2,1.13
80,David Nwaba,Houston Rockets,1.05,-0.3,0.375
81,Montrezl Harrell,Charlotte Hornets,1.04,1.1,1.07
82,Bobby Portis,Milwaukee Bucks,1.04,0.6,0.8200000000000001
